,unique_id,ds,ARIMA,SARIMA,y
549,11211,2025-08-01,0.8652947118231045,0.8652947118231045,1.193351
550,11211,2025-09-01,0.8652947118064306,0.8652947118064306,1.4259789999999999
551,11211,2025-10-01,0.8652947118004409,0.8652947118004409,1.36663
552,11212,2023-11-01,1.8897149466810783,1.853056,1.969964
553,11212,2023-12-01,1.7696459643069253,1.671322,1.857459
554,11212,2024-01-01,1.7356801357182083,1.577534,1.880987
555,11212,2024-02-01,1.7356801357182083,1.610432,1.845613
556,11212,2024-03-01,1.7356801357182083,1.948504,1.805653
557,11212,2024-04-01,1.7356801357182083,1.786972,2.091881
558,11212,2024-05-01,1.7356801357182083,1.619271,2.126974
559,11212,2024-06-01,1.7356801357182083,1.6731,2.152663
560,11212,2024-07-01,1.7356801357182083,1.67491,2.1515560000000002
561,11212,2024-08-01,1.7356801357182083,1.7597880000000001,2.24172
562,11212,2024-09-01,1.7356801357182083,1.96333,2.402796
563,11212,2024-10-01,1.7356801357182083,1.97313,2.327597
564,11212,2024-11-01,1.7356801357182083,1.853056,2.485153
565,11212,2024-12-01,1.7356801357182083,1.671322,2.397388
566,11212,2025-01-01,1.7356801357182083,1.577534,2.274203
567,11212,2025-02-01,1.7356801357182083,1.610432,2.116794
568,11212,2025-03-01,1.7356801357182083,1.948504,1.958885
569,11212,2025-04-01,1.7356801357182083,1.786972,4.0762540000000005
570,11212,2025-05-01,1.7356801357182083,1.619271,2.201201
571,11212,2025-06-01,1.7356801357182083,1.6731,2.220221
572,11212,2025-07-01,1.7356801357182083,1.67491,2.1390190000000002
573,11212,2025-08-01,1.7356801357182083,1.7597880000000001,2.392885
574,11212,2025-09-01,1.7356801357182083,1.96333,2.600565
575,11212,2025-10-01,1.7356801357182083,1.97313,2.517008
576,11213,2023-11-01,0.5027781201021699,0.5027781201021699,0.499483
577,11213,2023-12-01,0.5027781201021699,0.5027781201021699,0.511555
578,11213,2024-01-01,0.5027781201021699,0.5027781201021699,0.435455
579,11213,2024-02-01,0.5027781201021699,0.5027781201021699,0.495614
580,11213,2024-03-01,0.5027781201021699,0.5027781201021699,0.603356
581,11213,2024-04-01,0.5027781201021699,0.5027781201021699,0.802233
582,11213,2024-05-01,0.5027781201021699,0.5027781201021699,0.779503
583,11213,2024-06-01,0.5027781201021699,0.5027781201021699,0.810527
584,11213,2024-07-01,0.5027781201021699,0.5027781201021699,0.751579
585,11213,2024-08-01,0.5027781201021699,0.5027781201021699,0.832379
586,11213,2024-09-01,0.5027781201021699,0.5027781201021699,0.8155939999999999
587,11213,2024-10-01,0.5027781201021699,0.5027781201021699,0.847229
588,11213,2024-11-01,0.5027781201021699,0.5027781201021699,0.859932
589,11213,2024-12-01,0.5027781201021699,0.5027781201021699,0.967701
590,11213,2025-01-01,0.5027781201021699,0.5027781201021699,0.798365
591,11213,2025-02-01,0.5027781201021699,0.5027781201021699,0.823561
592,11213,2025-03-01,0.5027781201021699,0.5027781201021699,0.664356
593,11213,2025-04-01,0.5027781201021699,0.5027781201021699,1.727429
594,11213,2025-05-01,0.5027781201021699,0.5027781201021699,0.668684
595,11213,2025-06-01,0.5027781201021699,0.5027781201021699,-1.511191
596,11213,2025-07-01,0.5027781201021699,0.5027781201021699,0.856755
597,11213,2025-08-01,0.5027781201021699,0.5027781201021699,1.094072
598,11213,2025-09-01,0.5027781201021699,0.5027781201021699,0.875727
599,11213,2025-10-01,0.5027781201021699,0.5027781201021699,0.934513
600,11214,2023-11-01,1.333601391842599,1.333601391842599,1.7478500000000001
601,11214,2023-12-01,1.4459961774487144,1.4459961774487144,1.6664530000000002
602,11214,2024-01-01,1.4094176818230444,1.4094176818230444,1.765725
603,11214,2024-02-01,1.4081501048631493,1.4081501048631493,1.692388
604,11214,2024-03-01,1.4204300939852073,1.4204300939852073,1.596022
605,11214,2024-04-01,1.4097522053239218,1.4097522053239218,1.4974560000000001
606,11214,2024-05-01,1.4156334380242095,1.4156334380242095,1.324144
607,11214,2024-06-01,1.413586001080203,1.413586001080203,1.3843649999999998
608,11214,2024-07-01,1.4136398711024976,1.4136398711024976,1.307942
609,11214,2024-08-01,1.4142147689717988,1.4142147689717988,1.2915569999999998
610,11214,2024-09-01,1.4136804021410736,1.4136804021410736,1.362152
611,11214,2024-10-01,1.4139867956022838,1.4139867956022838,1.23818
612,11214,2024-11-01,1.4138734570353626,1.4138734570353626,1.315654
613,11214,2024-12-01,1.4138822762121874,1.4138822762121874,1.162827
614,11214,2025-01-01,1.4139088413811705,1.4139088413811705,1.340869
615,11214,2025-02-01,1.4138822216647828,1.4138822216647828,1.481163
616,11214,2025-03-01,1.4138981161936497,1.4138981161936497,1.182663
617,11214,2025-04-01,1.4138919013086877,1.4138919013086877,1.441442
618,11214,2025-05-01,1.4138926609177391,1.4138926609177391,1.2021000000000002
619,11214,2025-06-01,1.4138938689327138,1.4138938689327138,1.2662769999999999
620,11214,2025-07-01,1.413892549255051,1.413892549255051,1.30556
621,11214,2025-08-01,1.4138933704066814,1.4138933704066814,1.402519
622,11214,2025-09-01,1.4138930324109558,1.4138930324109558,1.413039
623,11214,2025-10-01,1.4138930868977566,1.4138930868977566,1.325811
624,11215,2023-11-01,0.53215,0.584024605111441,0.513487
625,11215,2023-12-01,0.53215,0.4132536096086342,0.37862599999999996
626,11215,2024-01-01,0.53215,0.45804466420223383,0.402242
627,11215,2024-02-01,0.53215,0.4504289100119481,0.487812
628,11215,2024-03-01,0.53215,0.368450908081307,0.437402
629,11215,2024-04-01,0.53215,0.45752272187236254,0.479616
630,11215,2024-05-01,0.53215,0.39088526252304406,0.541208
631,11215,2024-06-01,0.53215,0.5241039435538191,0.565275
632,11215,2024-07-01,0.53215,0.597162402974164,0.63253
633,11215,2024-08-01,0.53215,0.5674365907053256,0.6499360000000001
634,11215,2024-09-01,0.53215,0.5245999291586583,0.55028
635,11215,2024-10-01,0.53215,0.53518356600749,0.564101
636,11215,2024-11-01,0.53215,0.5863275795527818,0.521718
637,11215,2024-12-01,0.53215,0.41500194515313,0.472797
638,11215,2025-01-01,0.53215,0.4593719378016611,0.417677
639,11215,2025-02-01,0.53215,0.45143652849415694,0.44423999999999997
640,11215,2025-03-01,0.53215,0.36921585587061506,0.395549
641,11215,2025-04-01,0.53215,0.45810344278082044,3.652506
642,11215,2025-05-01,0.53215,0.3913261249952727,0.515629
643,11215,2025-06-01,0.53215,0.524438630520637,0.554791
644,11215,2025-07-01,0.53215,0.5974164853078032,0.578051
645,11215,2025-08-01,0.53215,0.5676294808942723,0.606054
646,11215,2025-09-01,0.53215,0.5247463644674774,0.540209
647,11215,2025-10-01,0.53215,0.5352947344385337,0.533631
648,11216,2023-11-01,0.022616326575676388,0.02227252380952381,0.027323
649,11216,2023-12-01,0.021472896230496728,0.01969552380952381,0.024819
650,11216,2024-01-01,0.02086554309485402,0.019687523809523814,0.026521
651,11216,2024-02-01,0.020542936796245536,0.01808052380952381,0.025879
652,11216,2024-03-01,0.020371578787544826,0.014217523809523808,0.024702
653,11216,2024-04-01,0.020280558967806252,0.014568523809523809,0.021432
654,11216,2024-05-01,0.020232212189922577,0.011168523809523812,0.021102
655,11216,2024-06-01,0.020206531948647136,0.007518523809523812,0.022372
656,11216,2024-07-01,0.020192891436893665,0.015622523809523812,0.020938
657,11216,2024-08-01,0.020185646039200516,0.014818523809523811,0.016947
658,11216,2024-09-01,0.02018179751880182,0.01115452380952381,0.017374
659,11216,2024-10-01,0.020179753309513875,0.02251252380952381,0.015545
660,11216,2024-11-01,0.020178667491802128,0.02001604761904762,0.020138
661,11216,2024-12-01,0.020178090740629883,0.01743904761904762,0.021623
662,11216,2025-01-01,0.020177784389102282,0.017431047619047624,0.022402
663,11216,2025-02-01,0.02017762166510105,0.015824047619047623,0.028876
664,11216,2025-03-01,0.020177535231386212,0.011961047619047621,0.016508
665,11216,2025-04-01,0.020177489320598596,0.01231204761904762,0.01666
666,11216,2025-05-01,0.02017746493427639,0.008912047619047623,0.013798
667,11216,2025-06-01,0.020177451981052506,0.005262047619047623,0.017532
668,11216,2025-07-01,0.020177445100719848,0.013366047619047621,0.013976
669,11216,2025-08-01,0.020177441446110164,0.012562047619047622,0.015897
670,11216,2025-09-01,0.02017743950489996,0.008898047619047621,0.016448
671,11216,2025-10-01,0.020177438473792025,0.02025604761904762,0.018768
672,11217,2023-11-01,0.6024608787878786,0.6024608787878786,0.71201
673,11217,2023-12-01,0.6024608787878786,0.6024608787878786,0.618385
674,11217,2024-01-01,0.6024608787878786,0.6024608787878786,0.639012
675,11217,2024-02-01,0.6024608787878786,0.6024608787878786,0.770525
676,11217,2024-03-01,0.6024608787878786,0.6024608787878786,0.653829
677,11217,2024-04-01,0.6024608787878786,0.6024608787878786,0.681401
678,11217,2024-05-01,0.6024608787878786,0.6024608787878786,0.730544
679,11217,2024-06-01,0.6024608787878786,0.6024608787878786,0.76142
680,11217,2024-07-01,0.6024608787878786,0.6024608787878786,0.7693329999999999
681,11217,2024-08-01,0.6024608787878786,0.6024608787878786,0.755662
682,11217,2024-09-01,0.6024608787878786,0.6024608787878786,0.762633
683,11217,2024-10-01,0.6024608787878786,0.6024608787878786,0.7137910000000001
684,11217,2024-11-01,0.6024608787878786,0.6024608787878786,0.718842
685,11217,2024-12-01,0.6024608787878786,0.6024608787878786,0.731177
686,11217,2025-01-01,0.6024608787878786,0.6024608787878786,0.707044
687,11217,2025-02-01,0.6024608787878786,0.6024608787878786,0.783591
